,Polylines,X,Y
433,23,323.0,83.0
434,23,324.0,83.0
435,23,325.0,83.0
436,23,326.0,83.0
437,23,327.0,84.0
438,23,328.0,84.0
439,23,329.0,84.0
440,23,330.0,84.0
441,23,331.0,84.0
442,23,332.0,85.0
443,24,14.0,7.0
444,24,15.0,7.0
445,24,16.0,8.0
446,24,16.0,9.0
447,24,17.0,10.0
448,24,18.0,11.0
449,24,18.0,12.0
450,24,19.0,13.0
451,24,20.0,13.0
452,24,21.0,14.0
453,24,22.0,14.0
454,24,23.0,15.0
455,24,24.0,15.0
456,24,25.0,15.0
457,24,26.0,15.0
458,24,27.0,15.0
459,24,28.0,15.0
460,24,29.0,15.0
461,24,30.0,15.0
462,24,31.0,15.0
463,25,326.0,415.0
464,25,327.0,415.0
465,25,328.0,415.0
466,25,329.0,415.0
467,25,330.0,415.0
468,25,331.0,415.0
469,25,332.0,415.0
470,25,333.0,415.0
471,25,334.0,414.0
472,25,335.0,414.0
473,25,336.0,413.0
474,25,337.0,413.0
475,25,338.0,413.0
476,25,339.0,413.0
477,25,340.0,414.0
478,25,341.0,414.0
479,25,342.0,414.0
480,25,343.0,414.0
481,25,344.0,414.0
482,25,345.0,414.0
483,25,346.0,414.0
484,25,347.0,414.0
485,25,348.0,414.0
486,25,349.0,414.0
487,25,350.0,414.0
488,25,351.0,413.0
489,25,352.0,413.0
490,25,353.0,413.0
491,25,354.0,413.0
492,25,355.0,413.0
493,25,356.0,413.0
494,25,357.0,413.0
495,25,358.0,413.0
496,25,359.0,413.0
497,25,360.0,413.0
498,25,361.0,414.0
499,25,362.0,413.0
500,25,363.0,413.0
501,25,364.0,413.0
502,25,365.0,413.0
503,25,366.0,413.0
504,25,367.0,413.0
505,25,368.0,413.0
506,25,369.0,413.0
507,25,370.0,413.0
508,25,371.0,413.0
509,25,372.0,413.0
510,25,373.0,413.0
511,25,374.0,413.0
512,25,375.0,413.0
513,25,376.0,413.0
514,25,377.0,412.0
515,25,378.0,412.0
516,25,379.0,412.0
517,25,380.0,413.0
518,25,381.0,413.0
519,25,382.0,413.0
520,25,383.0,412.0
521,25,384.0,412.0
522,25,385.0,412.0
523,25,386.0,411.0
524,26,370.0,57.0
525,26,371.0,57.0
526,27,359.0,479.0
527,27,360.0,480.0
528,27,361.0,480.0
529,27,362.0,481.0
530,27,363.0,481.0
531,27,364.0,481.0
532,27,365.0,481.0
533,27,366.0,481.0
534,27,367.0,481.0
535,27,368.0,481.0
536,27,369.0,481.0
537,27,370.0,481.0
538,27,371.0,481.0
539,27,372.0,481.0
540,27,373.0,481.0
541,27,374.0,481.0
542,27,375.0,481.0
543,27,376.0,481.0
544,27,377.0,480.0
545,28,267.0,59.0
546,28,267.0,60.0
547,28,268.0,61.0
548,28,269.0,62.0
549,28,270.0,62.0
550,28,271.0,62.0
551,28,272.0,62.0
552,28,273.0,62.0
553,28,274.0,62.0
554,28,275.0,62.0
555,28,276.0,62.0
556,28,277.0,62.0
557,28,278.0,62.0
558,28,279.0,62.0
559,28,280.0,63.0
560,29,127.0,237.0
561,29,128.0,238.0
562,29,129.0,239.0
563,29,129.0,239.0
564,29,130.0,240.0
565,29,131.0,241.0
566,29,132.0,242.0
567,29,133.0,243.0
568,29,134.0,244.0
569,29,135.0,244.0
570,29,136.0,244.0
571,29,137.0,245.0
572,29,138.0,245.0
573,29,139.0,245.0
574,29,140.0,246.0
575,29,141.0,246.0
576,29,142.0,246.0
577,29,143.0,247.0
578,29,144.0,247.0
579,30,218.0,118.0
580,30,219.0,118.0
581,30,220.0,118.0
582,31,296.0,411.0
583,31,297.0,411.0
584,31,298.0,411.0
585,32,270.0,234.0
586,32,271.0,234.0
587,32,272.0,235.0
588,32,273.0,235.0
589,33,407.0,490.0
590,33,408.0,490.0
591,34,404.0,466.0
592,34,404.0,467.0
593,34,404.0,468.0
594,34,404.0,469.0
595,34,405.0,470.0
596,34,405.0,471.0
597,34,406.0,472.0
598,34,407.0,473.0
599,34,408.0,474.0
600,34,408.0,475.0
601,34,408.0,476.0
602,34,408.0,476.0
603,34,409.0,477.0
604,34,410.0,478.0
605,34,411.0,479.0
606,34,412.0,479.0
607,34,413.0,480.0
608,34,414.0,480.0
609,34,415.0,480.0
610,34,416.0,480.0
611,34,417.0,480.0
612,34,418.0,481.0
613,34,419.0,481.0
614,34,420.0,481.0
615,34,421.0,481.0
616,34,422.0,482.0
617,34,423.0,482.0
618,34,424.0,482.0
619,34,425.0,482.0
620,34,426.0,482.0
621,34,427.0,482.0
622,34,428.0,483.0
623,34,429.0,483.0
624,34,430.0,483.0
625,34,431.0,483.0
626,34,432.0,483.0
627,35,37.0,9.0
628,35,38.0,9.0
629,35,39.0,9.0
630,35,40.0,9.0
631,35,41.0,9.0
632,35,42.0,9.0
633,36,313.0,123.0
634,36,314.0,123.0
635,36,314.0,124.0
636,36,315.0,125.0
637,36,316.0,125.0
638,36,317.0,126.0
639,36,318.0,126.0
640,36,319.0,126.0
641,36,320.0,126.0
642,36,321.0,126.0
643,37,303.0,68.0
644,37,304.0,68.0
645,37,305.0,67.0
646,37,306.0,67.0
647,38,89.0,321.0
648,38,89.0,322.0
649,38,89.0,322.0
650,38,90.0,323.0
651,38,91.0,324.0
652,38,92.0,324.0
653,38,93.0,325.0
654,38,94.0,325.0
655,38,95.0,326.0
656,38,96.0,326.0
657,38,97.0,326.0
658,38,98.0,326.0
659,38,99.0,326.0
660,38,100.0,326.0
661,38,101.0,326.0
662,38,102.0,327.0
663,38,103.0,327.0
664,38,104.0,327.0
665,38,105.0,327.0
666,38,106.0,327.0
667,38,107.0,327.0
668,38,108.0,327.0
669,38,109.0,327.0
670,38,110.0,327.0
671,38,111.0,327.0
672,38,112.0,327.0
673,38,113.0,327.0
674,38,114.0,327.0
675,38,115.0,327.0
676,38,116.0,327.0
677,38,117.0,327.0
678,38,118.0,327.0
679,38,119.0,327.0
680,38,120.0,327.0
681,38,121.0,327.0
682,38,122.0,327.0
683,38,123.0,327.0
684,38,124.0,326.0
685,38,125.0,326.0
686,38,126.0,326.0
687,38,127.0,326.0
688,38,128.0,326.0
689,38,129.0,326.0
690,38,130.0,326.0
691,38,131.0,326.0
692,38,132.0,326.0
693,38,133.0,326.0
694,38,134.0,326.0
695,38,135.0,326.0
696,38,136.0,326.0
697,38,137.0,327.0
698,38,138.0,327.0
699,38,139.0,328.0
700,38,140.0,328.0
701,38,141.0,328.0
702,38,142.0,329.0
703,38,143.0,329.0
704,38,144.0,330.0
705,38,145.0,330.0
706,38,146.0,330.0
707,38,147.0,331.0
708,38,148.0,331.0
709,38,149.0,331.0
710,38,150.0,331.0
711,38,151.0,331.0
712,38,152.0,331.0
713,38,153.0,331.0
714,38,154.0,331.0
715,38,155.0,331.0
716,38,156.0,331.0
